"Tag Code","Mark File Name","Site Name","First Time Value","Last Time Value","First Antenna Group Name","Last Antenna Group Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Release Site Name","Count"
"3D9.1BF14EC74E","DMM03122.WR3","OMK - Omak Creek Instream Array","4/6/2006 2:25:04 AM","4/6/2006 2:25:04 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/2/2003","3","Steelhead","2","Summer","H","Hatchery Reared","METHR - Methow River","1"
"3D9.1BF15B2225","DMM03127.WR3","OMK - Omak Creek Instream Array","3/29/2006 9:18:35 PM","3/29/2006 9:18:35 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF15B8792","DMM03127.WR3","OMK - Omak Creek Instream Array","3/29/2006 8:43:15 PM","3/29/2006 8:43:15 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/7/2003","3","Steelhead","2","Summer","H","Hatchery Reared","OMAKC - Omak Creek (tributary to Okanogan River)","1"
"3D9.1BF15C1BAF","DMM02261.W3A","MRB - Methow River Basin","4/22/2006 7:25:41 PM","4/22/2006 7:32:26 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF15D66CC","DMM03132.ARM","MRB - Methow River Basin","3/29/2006 8:36:22 PM","3/30/2006 4:27:58 AM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/12/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWIS2P - Twisp Acclimation Pond (Methow Salmon Recovery Foundation)","1"
"3D9.1BF15D95DC","DMM02254.W3A","OMK - Omak Creek Instream Array","4/2/2006 1:21:47 AM","4/29/2006 3:47:11 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF15E6A15","DMM02261.W3A","OMK - Omak Creek Instream Array","4/23/2006 1:59:57 AM","4/23/2006 1:59:57 AM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF15E9FCD","DMM02253.W2A","OMK - Omak Creek Instream Array","4/3/2006 6:27:31 AM","4/7/2006 4:18:32 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF15EDA30","DMM03122.WR","OMK - Omak Creek Instream Array","4/6/2006 2:49:44 PM","4/6/2006 2:49:44 PM","IN-STREAM ARRAY","IN-STREAM ARRAY","5/2/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF15F0C19","DMM03121.WR4","MRB - Methow River Basin","4/26/2006 8:32:39 PM","4/26/2006 8:32:39 PM","LIBBY CREEK NEAR MOUTH","LIBBY CREEK NEAR MOUTH","5/1/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
"3D9.1BF15F22C3","DMM02259.W2A","NMC - Ninemile Creek Instream Array","5/28/2011 1:34:22 AM","5/28/2011 1:59:52 AM","UPSTREAM ANTENNA","UPSTREAM MIDDLE ANTENNA","4/15/2003","3","Steelhead","2","Summer","H","Hatchery Reared","WELH - Wells Hatchery","1"
"3D9.1BF15F3DE8","DMM03122.WR","MRB - Methow River Basin","3/31/2006 8:38:36 AM","3/31/2006 2:09:16 PM","GOLD CREEK NEAR MOUTH","GOLD CREEK NEAR MOUTH","5/2/2003","3","Steelhead","2","Summer","H","Hatchery Reared","TWISPR - Twisp River","1"
