Tag Code,Event Type Name,Event Site Name,Event Date MMDDYYYY,Event Date Time Value,Event Year YYYY,CTH Count
384.3B239875C6,Mark,ENTIAR - Entiat River,3/14/2014,3/14/2014 7:15:00 PM,2014,1
384.3B239875C6,Observation,RIA - Rock Island Adult,10/1/2017,10/1/2017 11:27:47 AM,2017,1
384.3B239875C6,Observation,RIA - Rock Island Adult,10/1/2017,10/1/2017 11:47:42 AM,2017,1
384.3B239875C6,Observation,RIA - Rock Island Adult,10/1/2017,10/1/2017 11:47:49 AM,2017,1
384.3B239875C6,Observation,RIA - Rock Island Adult,10/1/2017,10/1/2017 11:47:50 AM,2017,1
384.3B239875C6,Observation,RRF - Rocky Reach Fishway,10/3/2017,10/3/2017 8:07:15 AM,2017,1
384.3B239875C6,Observation,RRF - Rocky Reach Fishway,10/3/2017,10/3/2017 8:08:55 AM,2017,1
384.3B239875C6,Observation,RRF - Rocky Reach Fishway,10/3/2017,10/3/2017 8:11:50 AM,2017,1
384.3B239875C6,Observation,RRF - Rocky Reach Fishway,10/3/2017,10/3/2017 8:12:54 AM,2017,1
384.3B239875C6,Observation,"WEA - Wells Dam, DCPUD Adult Ladders",10/5/2017,10/5/2017 5:14:07 AM,2017,1
384.3B239875C6,Observation,"WEA - Wells Dam, DCPUD Adult Ladders",10/5/2017,10/5/2017 6:31:17 AM,2017,1
384.3B239875C6,Observation,"WEA - Wells Dam, DCPUD Adult Ladders",10/5/2017,10/5/2017 6:31:43 AM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:22:40 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:22:48 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:22:49 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:22:58 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:23:05 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:23:06 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:23:24 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:23:37 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:23:38 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:31:26 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 5:31:33 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:41:16 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:41:17 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:41:18 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:44:08 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:48:08 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:48:09 PM,2017,1
384.3B239875C6,Observation,BO1 - Bonneville Bradford Is. Ladder,7/20/2017,7/20/2017 6:48:56 PM,2017,1
384.3B239875C6,Observation,TD1 - The Dalles East Fish Ladder,9/18/2017,9/18/2017 6:11:21 PM,2017,1
384.3B239875C6,Observation,TD1 - The Dalles East Fish Ladder,9/18/2017,9/18/2017 6:11:22 PM,2017,1
384.3B239875C6,Observation,TD1 - The Dalles East Fish Ladder,9/18/2017,9/18/2017 6:15:40 PM,2017,1
384.3B239875C6,Observation,TD1 - The Dalles East Fish Ladder,9/18/2017,9/18/2017 6:15:41 PM,2017,1
384.3B239875C6,Observation,TD1 - The Dalles East Fish Ladder,9/18/2017,9/18/2017 6:15:42 PM,2017,1
384.3B239875C6,Observation,TD1 - The Dalles East Fish Ladder,9/18/2017,9/18/2017 6:15:47 PM,2017,1
384.3B239875C6,Passive Recapture,JDALD2 - JDA - Release into north fish ladder,9/20/2017,9/20/2017 3:27:39 PM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:04:39 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:04:40 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:05:57 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:08:08 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:09:26 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:09:27 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:12:26 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:13:20 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:15:50 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:16:53 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:42:27 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:42:28 AM,2017,1
384.3B239875C6,Observation,MC2 - McNary Washington Shore Ladder,9/23/2017,9/23/2017 9:42:32 AM,2017,1
384.3B239875C6,Observation,PRA - Priest Rapids Adult,9/27/2017,9/27/2017 2:06:17 PM,2017,1
384.3B239875C6,Observation,PRA - Priest Rapids Adult,9/27/2017,9/27/2017 2:06:53 PM,2017,1
384.3B239875C6,Observation,ENL - Lower Entiat River,4/16/2018,4/16/2018 2:01:45 AM,2018,1
384.3B239875C6,Observation,ENL - Lower Entiat River,4/16/2018,4/16/2018 2:03:50 AM,2018,1
384.3B239875C6,Observation,ENA - Upper Entiat River at rkm 17.1,4/21/2018,4/21/2018 8:33:33 PM,2018,1
384.3B239875C6,Observation,ENA - Upper Entiat River at rkm 17.1,4/21/2018,4/21/2018 8:34:11 PM,2018,1
384.3B239875C6,Observation,ENM - Middle Entiat River,4/23/2018,4/23/2018 5:13:28 AM,2018,1
384.3B239875C6,Observation,ENS - Upper Entiat River at rkm 35.7,4/26/2018,4/26/2018 4:59:55 AM,2018,1
384.3B239875C6,Observation,ENS - Upper Entiat River at rkm 35.7,4/26/2018,4/26/2018 4:59:57 AM,2018,1
384.3B239875C6,Observation,ENS - Upper Entiat River at rkm 35.7,4/26/2018,4/26/2018 5:00:08 AM,2018,1
384.3B239875C6,Observation,ENS - Upper Entiat River at rkm 35.7,4/26/2018,4/26/2018 5:00:10 AM,2018,1
384.3B239875C6,Observation,ENF - Upper Entiat River at rkm 40.6,5/30/2018,5/30/2018 12:34:14 PM,2018,1
384.3B239875C6,Observation,ENF - Upper Entiat River at rkm 40.6,5/7/2018,5/7/2018 2:21:56 PM,2018,1
384.3B239875C6,Observation,ENF - Upper Entiat River at rkm 40.6,5/7/2018,5/7/2018 2:21:58 PM,2018,1
384.3B23987601,Mark,MADRVR - Mad River (Entiat River watershed),3/17/2014,3/17/2014 6:41:00 PM,2014,1
384.3B23987601,Observation,"MAD - Mad River, Entiat River Basin",3/18/2014,3/18/2014 10:55:30 PM,2014,1
384.3B23987601,Observation,"MAD - Mad River, Entiat River Basin",3/18/2014,3/18/2014 10:55:34 PM,2014,1
