TagCode,wells_detected,entiat_detected,upstream_detected,last_overall,last_upstream,last_detected_upstream,ReturnYear,rrf_anchor,group,ReturnMonth,ReturnSeason,wells_interaction,EntiatDetected,Harvest_Status,harvest_open,WellsYear,FallSpillHours,FallTotalSpill,SpringSpillHours,SpringTotalSpill
384.3B239875C6,TRUE,TRUE,FALSE,2018-05-07T14:21:00Z,NA,FALSE,2017,2017-10-03T08:07:00Z,B,10,Fall,1,1,Closed,0,2017,523,4903.6,671,14036.5
384.3B23995DC4,TRUE,TRUE,FALSE,2017-05-02T21:32:00Z,NA,FALSE,2016,2016-08-03T13:37:00Z,B,8,Fall,1,1,Closed,0,2016,460,3623,330,17709.1
384.3B23AC6042,TRUE,TRUE,FALSE,2016-03-31T06:03:00Z,NA,FALSE,2015,2015-08-25T09:44:00Z,B,8,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
384.3B23AC6E25,TRUE,TRUE,TRUE,2016-05-02T11:56:00Z,2015-09-14T15:48:00Z,FALSE,2015,2015-09-05T14:07:00Z,B,9,Fall,1,1,Open,1,2015,460,4097.5,15,165.1
384.3B23AC8F6F,TRUE,FALSE,FALSE,2016-08-21T10:21:00Z,NA,FALSE,2016,2016-08-07T08:38:00Z,B,8,Fall,1,0,Closed,0,2016,460,3623,330,17709.1
3D9.1BF1A7ADA9,TRUE,FALSE,FALSE,2007-11-17T01:51:00Z,NA,FALSE,2007,2007-09-29T14:25:00Z,B,9,Fall,1,0,Open,1,2007,655,4960.4,19,153.3
3D9.1BF1F8679B,TRUE,TRUE,FALSE,2008-04-29T02:41:00Z,NA,FALSE,2007,2007-09-25T14:02:00Z,B,9,Fall,1,1,Open,1,2007,655,4960.4,19,153.3
3D9.1BF201A1D0,TRUE,TRUE,FALSE,2009-04-17T21:58:00Z,NA,FALSE,2008,2008-09-04T10:22:00Z,B,9,Fall,1,1,Open,1,2008,644,5951,30,256.3
3D9.1BF201A551,TRUE,TRUE,FALSE,2008-04-13T21:20:00Z,NA,FALSE,2007,2007-08-20T07:59:00Z,B,8,Fall,1,1,Open,1,2007,655,4960.4,19,153.3
3D9.1BF201FC03,TRUE,TRUE,FALSE,2009-04-17T22:33:00Z,NA,FALSE,2008,2008-08-04T18:22:00Z,B,8,Fall,1,1,Open,1,2008,644,5951,30,256.3
