TagCode,group,ReturnYear,rrf_anchor_season,actual_entry_season,has_enl,has_upstream,enl_only,enl_direction,criterion_1_broad,criterion_2_orig_strict,criterion_3_reclassified,criterion_4_enl_sens
3D9.1BF2602B69,A,2009,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2C2D0878,A,2009,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2C449BFB,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C44AA93,A,2009,fall,fall,TRUE,FALSE,TRUE,NA,1,0,0,0
3D9.1C2C44D298,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C4512E8,A,2009,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2C47D482,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C47DC16,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50D96A,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50F219,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C50F3FA,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C51016F,A,2009,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2C517CA8,A,2010,fall,fall,TRUE,FALSE,TRUE,NA,1,0,0,0
3D9.1C2C517ED3,A,2010,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2C51DAD4,A,2010,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2CBC3DA5,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CBC4277,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CC087BD,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CC92F88,A,2010,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCD72F8,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCDA8D8,A,2010,fall,fall,TRUE,FALSE,TRUE,Exiting (Upper→Lower),1,0,0,0
3D9.1C2CCDB155,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CCE1AD5,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CD78DE2,A,2011,fall,fall,TRUE,FALSE,TRUE,Upper/Upstream only (single obs),1,0,0,0
3D9.1C2CDD70AD,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2CDD777B,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D09BCDE,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D0B0EE5,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D0C9DE5,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D0FFDE7,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D105E0C,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D1079AB,A,2011,fall,fall,TRUE,FALSE,TRUE,Upper/Upstream only (single obs),1,0,0,0
3D9.1C2D113428,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D1156CC,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D1173CB,A,2013,fall,fall,FALSE,TRUE,FALSE,NA,1,0,0,0
3D9.1C2D125E40,A,2011,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D45B58B,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D7705D1,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D774C1E,A,2014,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2D8D4137,A,2013,fall,fall,TRUE,FALSE,TRUE,Entering (Lower→Upper),1,0,0,1
3D9.1C2D91CAE6,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9211FC,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D925BD1,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D92606A,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D92648B,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D9271C9,A,2012,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D928AF2,A,2014,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
3D9.1C2D93442C,A,2013,fall,fall,TRUE,TRUE,FALSE,NA,1,1,1,1
