Tag Code,Mark Site Name,Mark Date MMDDYYYY,Release Site Name,Release Date MMDDYYYY,Species Code,Species Name,Rear Type Code,Rear Type Name,Mark Count
384.3B239875C6,ENTIAR - Entiat River,3/14/2014,ENTIAR - Entiat River,3/14/2014,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B2398DD9B,ENTIAR - Entiat River,3/5/2014,ENTIAR - Entiat River,3/6/2014,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B239947BA,NASONC - Nason Creek (tributary to Wenatchee River),6/14/2016,NASONC - Nason Creek (tributary to Wenatchee River),6/16/2016,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B23995DC4,ENTIAR - Entiat River,3/14/2014,ENTIAR - Entiat River,3/14/2014,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B239B285B,NASONC - Nason Creek (tributary to Wenatchee River),5/28/2016,NASONC - Nason Creek (tributary to Wenatchee River),5/31/2016,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B23AC4B3E,"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",4/28/2014,"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",4/28/2014,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B23AC6042,ENTIAR - Entiat River,3/6/2014,ENTIAR - Entiat River,3/6/2014,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B23AC6E25,ENTIAR - Entiat River,4/19/2014,ENTIAR - Entiat River,4/19/2014,3,Steelhead,W,Wild Fish or Natural Production,1
384.3B23AC8F6F,ENTIAR - Entiat River,3/7/2014,ENTIAR - Entiat River,3/7/2014,3,Steelhead,W,Wild Fish or Natural Production,1
3D9.1BF14EC6AF,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF15ADCFA,EBNK - East Bank Hatchery,5/1/2003,NASONC - Nason Creek (tributary to Wenatchee River),5/1/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF15AE2C0,EBNK - East Bank Hatchery,4/29/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/29/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF15AE4BD,EBNK - East Bank Hatchery,5/1/2003,NASONC - Nason Creek (tributary to Wenatchee River),5/1/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF15AE911,CHEL - Chelan PUD Hatchery,10/8/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF15AEC18,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF16E1EBF,CHEL - Chelan PUD Hatchery,10/9/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF16EDA3F,CHEL - Chelan PUD Hatchery,10/9/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF16EDD8F,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF170129C,EBNK - East Bank Hatchery,4/29/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/29/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF1704062,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF1744B5C,EBNK - East Bank Hatchery,5/1/2003,NASONC - Nason Creek (tributary to Wenatchee River),5/1/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17514C0,EBNK - East Bank Hatchery,4/29/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/28/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF1752357,EBNK - East Bank Hatchery,5/1/2003,NASONC - Nason Creek (tributary to Wenatchee River),5/1/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D7E52,EBNK - East Bank Hatchery,5/1/2003,NASONC - Nason Creek (tributary to Wenatchee River),5/1/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D89A1,CHEL - Chelan PUD Hatchery,10/8/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D8D01,CHEL - Chelan PUD Hatchery,10/8/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D8E39,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D915F,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D95AA,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D95AC,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D98A1,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D9B11,CHEL - Chelan PUD Hatchery,10/7/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17D9E9B,CHEL - Chelan PUD Hatchery,10/8/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17DA6A0,CHEL - Chelan PUD Hatchery,10/7/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17DB3CC,EBNK - East Bank Hatchery,4/29/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/29/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17DBD8A,CHEL - Chelan PUD Hatchery,10/8/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17DD4E4,EBNK - East Bank Hatchery,4/29/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/28/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17DF3D1,EBNK - East Bank Hatchery,4/29/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/29/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17E0BF0,CHEL - Chelan PUD Hatchery,10/8/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17E1BE2,EBNK - East Bank Hatchery,4/30/2003,NASONC - Nason Creek (tributary to Wenatchee River),4/30/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17E2354,EBNK - East Bank Hatchery,5/1/2003,NASONC - Nason Creek (tributary to Wenatchee River),5/1/2003,3,Steelhead,H,Hatchery Reared,1
3D9.1BF17E28C9,CHEL - Chelan PUD Hatchery,10/7/2002,NASONC - Nason Creek (tributary to Wenatchee River),4/15/2003,3,Steelhead,H,Hatchery Reared,1
