STN,DATE,HR,TEMP AT SENSOR (C),TDG%,SPILL (KCFS),TOTAL FLOW (KCFS),FB ELEV (FT),TW ELEV (FT),Station,FileMonth,DateTime,Date
WEL,2024-01-01,1,7.6,95.1,0,69.3,777.1,707.7,WEL,Jan2024,2024-01-01T01:00:00Z,2024-01-01
WEL,2024-01-01,2,7.6,95.1,0,73,777.3,708.6,WEL,Jan2024,2024-01-01T02:00:00Z,2024-01-01
WEL,2024-01-01,3,7.5,95.1,0,62.3,777.5,708.2,WEL,Jan2024,2024-01-01T03:00:00Z,2024-01-01
WEL,2024-01-01,4,7.5,95.1,0,65.3,777.6,708,WEL,Jan2024,2024-01-01T04:00:00Z,2024-01-01
WEL,2024-01-01,5,7.5,95.1,0,61.1,777.9,707.9,WEL,Jan2024,2024-01-01T05:00:00Z,2024-01-01
WEL,2024-01-01,6,7.5,95.1,0,63,778,708.3,WEL,Jan2024,2024-01-01T06:00:00Z,2024-01-01
WEL,2024-01-01,7,7.5,94.9,0,72.5,778.2,708.9,WEL,Jan2024,2024-01-01T07:00:00Z,2024-01-01
WEL,2024-01-01,8,7.5,94.9,0,71.9,778.3,709,WEL,Jan2024,2024-01-01T08:00:00Z,2024-01-01
WEL,2024-01-01,9,7.5,94.9,0,72.5,778.4,709,WEL,Jan2024,2024-01-01T09:00:00Z,2024-01-01
WEL,2024-01-01,10,7.5,94.9,0,73.7,778.5,709.2,WEL,Jan2024,2024-01-01T10:00:00Z,2024-01-01
WEL,2024-01-01,11,7.5,94.9,0,75.7,778.7,709.4,WEL,Jan2024,2024-01-01T11:00:00Z,2024-01-01
WEL,2024-01-01,12,7.5,95.1,0,74.9,779,709.2,WEL,Jan2024,2024-01-01T12:00:00Z,2024-01-01
WEL,2024-01-01,13,7.5,95.1,0,72.6,779.2,709,WEL,Jan2024,2024-01-01T13:00:00Z,2024-01-01
WEL,2024-01-01,14,7.5,95.2,0,73.3,779.4,708.9,WEL,Jan2024,2024-01-01T14:00:00Z,2024-01-01
WEL,2024-01-01,15,7.5,95.3,0,74.5,779.6,709,WEL,Jan2024,2024-01-01T15:00:00Z,2024-01-01
WEL,2024-01-01,16,7.5,95.2,0,78.4,779.1,710.1,WEL,Jan2024,2024-01-01T16:00:00Z,2024-01-01
WEL,2024-01-01,17,7.5,95.2,0,128.8,779.1,713.2,WEL,Jan2024,2024-01-01T17:00:00Z,2024-01-01
WEL,2024-01-01,18,7.5,95.3,0,130.4,779.2,713.4,WEL,Jan2024,2024-01-01T18:00:00Z,2024-01-01
WEL,2024-01-01,19,7.5,95.3,0,107.6,779.1,711.6,WEL,Jan2024,2024-01-01T19:00:00Z,2024-01-01
WEL,2024-01-01,20,7.5,95.5,0,106.9,779.1,711.5,WEL,Jan2024,2024-01-01T20:00:00Z,2024-01-01
WEL,2024-01-01,21,7.5,95.6,0,97.8,779.2,710.8,WEL,Jan2024,2024-01-01T21:00:00Z,2024-01-01
WEL,2024-01-01,22,7.4,95.6,0,96,779.3,710.6,WEL,Jan2024,2024-01-01T22:00:00Z,2024-01-01
WEL,2024-01-01,23,7.4,95.6,0,88.8,779.4,709.9,WEL,Jan2024,2024-01-01T23:00:00Z,2024-01-01
WEL,2024-01-01,24,7.4,95.6,0,78.7,779.6,709.4,WEL,Jan2024,2024-01-02T00:00:00Z,2024-01-02
WEL,2024-01-02,1,7.4,95.5,0,67.1,779.7,708.7,WEL,Jan2024,2024-01-02T01:00:00Z,2024-01-02
WEL,2024-01-02,2,7.4,95.6,0,66.9,779.8,709.2,WEL,Jan2024,2024-01-02T02:00:00Z,2024-01-02
WEL,2024-01-02,3,7.4,95.6,0,67,779.8,709.1,WEL,Jan2024,2024-01-02T03:00:00Z,2024-01-02
WEL,2024-01-02,4,7.4,95.6,0,69.3,779.8,709,WEL,Jan2024,2024-01-02T04:00:00Z,2024-01-02
WEL,2024-01-02,5,7.4,95.6,0,79.1,779.6,710.1,WEL,Jan2024,2024-01-02T05:00:00Z,2024-01-02
WEL,2024-01-02,6,7.4,95.7,0,107.2,779.2,712.5,WEL,Jan2024,2024-01-02T06:00:00Z,2024-01-02
WEL,2024-01-02,7,7.4,95.7,0,119.4,779.1,713.2,WEL,Jan2024,2024-01-02T07:00:00Z,2024-01-02
WEL,2024-01-02,8,7.4,95.7,0,117.6,779.1,712.3,WEL,Jan2024,2024-01-02T08:00:00Z,2024-01-02
WEL,2024-01-02,9,7.4,95.7,0,96,779.2,711.2,WEL,Jan2024,2024-01-02T09:00:00Z,2024-01-02
WEL,2024-01-02,10,7.4,95.7,0,109.9,779.1,712.3,WEL,Jan2024,2024-01-02T10:00:00Z,2024-01-02
WEL,2024-01-02,11,7.4,95.7,0,106.2,779.2,712.1,WEL,Jan2024,2024-01-02T11:00:00Z,2024-01-02
WEL,2024-01-02,12,7.4,95.9,0,106.3,779.1,711.9,WEL,Jan2024,2024-01-02T12:00:00Z,2024-01-02
WEL,2024-01-02,13,7.4,96,0,107.2,779,711.9,WEL,Jan2024,2024-01-02T13:00:00Z,2024-01-02
WEL,2024-01-02,14,7.4,96.1,0,107.3,778.6,712,WEL,Jan2024,2024-01-02T14:00:00Z,2024-01-02
WEL,2024-01-02,15,7.4,96.1,0,111.2,778.2,712.3,WEL,Jan2024,2024-01-02T15:00:00Z,2024-01-02
WEL,2024-01-02,16,7.4,96.1,0,107.5,777.8,713.1,WEL,Jan2024,2024-01-02T16:00:00Z,2024-01-02
WEL,2024-01-02,17,7.4,96,0,124.8,777.3,713.7,WEL,Jan2024,2024-01-02T17:00:00Z,2024-01-02
WEL,2024-01-02,18,7.4,96,0,132.8,777.4,713.7,WEL,Jan2024,2024-01-02T18:00:00Z,2024-01-02
WEL,2024-01-02,19,7.4,96,0,116.1,777.3,712.3,WEL,Jan2024,2024-01-02T19:00:00Z,2024-01-02
WEL,2024-01-02,20,7.4,96,0,109.2,777.3,711.6,WEL,Jan2024,2024-01-02T20:00:00Z,2024-01-02
WEL,2024-01-02,21,7.3,96,0,95,777.6,710.1,WEL,Jan2024,2024-01-02T21:00:00Z,2024-01-02
WEL,2024-01-02,22,7.3,96.1,0,83,777.5,708.9,WEL,Jan2024,2024-01-02T22:00:00Z,2024-01-02
WEL,2024-01-02,23,7.3,96.1,0,64.8,777.9,707.2,WEL,Jan2024,2024-01-02T23:00:00Z,2024-01-02
WEL,2024-01-02,24,7.3,96.1,0,49,778.1,706.3,WEL,Jan2024,2024-01-03T00:00:00Z,2024-01-03
WEL,2024-01-03,1,7.3,96.1,0,49.2,778.4,707.1,WEL,Jan2024,2024-01-03T01:00:00Z,2024-01-03
WEL,2024-01-03,2,7.3,96.1,0,47.8,778.4,707.1,WEL,Jan2024,2024-01-03T02:00:00Z,2024-01-03
WEL,2024-01-03,3,7.3,96.1,0,47.8,778.6,706.9,WEL,Jan2024,2024-01-03T03:00:00Z,2024-01-03
WEL,2024-01-03,4,7.3,96.2,0,48.7,778.6,707.1,WEL,Jan2024,2024-01-03T04:00:00Z,2024-01-03
WEL,2024-01-03,5,7.3,96.2,0,49.1,778.6,707.4,WEL,Jan2024,2024-01-03T05:00:00Z,2024-01-03
WEL,2024-01-03,6,7.3,96.2,0,86,778.1,710.6,WEL,Jan2024,2024-01-03T06:00:00Z,2024-01-03
WEL,2024-01-03,7,7.3,96.2,0,103.4,778,711.9,WEL,Jan2024,2024-01-03T07:00:00Z,2024-01-03
WEL,2024-01-03,8,7.2,96.1,0,96.2,778.2,710.7,WEL,Jan2024,2024-01-03T08:00:00Z,2024-01-03
WEL,2024-01-03,9,7.2,96.1,0,88.7,778.3,710.1,WEL,Jan2024,2024-01-03T09:00:00Z,2024-01-03
WEL,2024-01-03,10,7.2,96.2,0,91,778.6,709.8,WEL,Jan2024,2024-01-03T10:00:00Z,2024-01-03
WEL,2024-01-03,11,7.2,96.2,0,71.7,778.8,708.8,WEL,Jan2024,2024-01-03T11:00:00Z,2024-01-03
WEL,2024-01-03,12,7.2,96.4,0,69.5,779.1,708.5,WEL,Jan2024,2024-01-03T12:00:00Z,2024-01-03
WEL,2024-01-03,13,7.2,96.5,0,69.2,779.3,708.5,WEL,Jan2024,2024-01-03T13:00:00Z,2024-01-03
WEL,2024-01-03,14,7.2,96.5,0,70.1,779.6,708.6,WEL,Jan2024,2024-01-03T14:00:00Z,2024-01-03
WEL,2024-01-03,15,7.2,96.6,0,74.5,779.8,708.7,WEL,Jan2024,2024-01-03T15:00:00Z,2024-01-03
WEL,2024-01-03,16,7.2,96.6,0,67.9,779.7,708.3,WEL,Jan2024,2024-01-03T16:00:00Z,2024-01-03
WEL,2024-01-03,17,7.2,96.5,0,82.5,779.9,709.3,WEL,Jan2024,2024-01-03T17:00:00Z,2024-01-03
