TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,Rear Type Code,Harvest_Status,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,HarvestOpen,SpillYearFactor
384.3B239875C6,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-10-05T05:14:00Z,2018-05-30T12:34:00Z,ENF - Upper Entiat River at rkm 40.6,Below,Entiat,2018,2017,Below,W,Closed,523,34,4903.6,671,66,14036.5,0,2018
384.3B2398DD9B,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-09T09:14:00Z,2017-04-16T03:47:00Z,TWR - Lwr Twisp Rvr near MSRF Ponds,Above,Entiat,2017,2016,Above,W,Closed,460,22,3623,330,20,17709.1,0,2017
384.3B239947BA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2019-08-18T12:02:00Z,2019-10-04T08:16:00Z,"TUM - Tumwater Dam, Wenatchee River",Below,Wenatchee,2020,2019,Below,W,Closed,527,45,5134,86,13,3546.5,0,2020
384.3B23995DC4,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-06T15:06:00Z,2017-06-07T18:34:00Z,ENS - Upper Entiat River at rkm 35.7,Below,Entiat,2017,2016,Below,W,Closed,460,22,3623,330,20,17709.1,0,2017
384.3B239B285B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2020-07-11T15:09:00Z,2021-05-05T13:14:00Z,JDJ - John Day Dam Juvenile,Below,Wenatchee,2021,2020,Below,W,Closed,725,55,8756.2,161,24,2214.9,0,2021
384.3B23AC4B3E,Wenatchee,"WENA4T - Lower Wenatchee trap, 2.8km below Mission Creek",2016-08-07T09:55:00Z,2016-10-27T02:43:00Z,LMR - Lower Methow River at Pateros,Above,Wenatchee,2017,2016,Above,W,Closed,460,22,3623,330,20,17709.1,0,2017
384.3B23AC6042,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-28T15:02:00Z,2016-04-08T13:11:00Z,HS2 - Bottom side channel near ENFH,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
384.3B23AC6E25,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-07T15:34:00Z,2016-05-02T11:56:00Z,BCC - BON PH2 Corner Collector,Below,Entiat,2016,2015,Below,W,Open,460,24,4097.5,15,4,165.1,1,2016
384.3B23AC8F6F,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-21T10:21:00Z,2016-08-21T12:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2017,2016,Wells Dam,W,Closed,460,22,3623,330,20,17709.1,0,2017
3D9.1BF1A7ADA9,Upper Columbia-Entiat,ENTIAR - Entiat River,2007-11-17T01:51:00Z,2007-11-17T03:38:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,Entiat,2008,2007,Wells Dam,W,Open,655,41,4960.4,19,10,153.3,1,2008
3D9.1BF1F8679B,Upper Columbia-Entiat,ENTIAR - Entiat River,2007-09-28T15:31:00Z,2008-04-29T17:43:00Z,"MAD - Mad River, Entiat River Basin",Below,Entiat,2008,2007,Below,W,Open,655,41,4960.4,19,10,153.3,1,2008
3D9.1BF2011E3B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2009-08-24T17:57:00Z,2010-05-02T21:07:00Z,RRJ - Rocky Reach Dam Juvenile,Below,Wenatchee,2010,2009,Below,W,Open,626,28,3865.5,1,2,1.4,1,2010
