SpillYear,N_Fish,Below,Above,WellsDam,FallTotalSpill,SpringTotalSpill,HarvestOpen
2007,1,0,0,1,4682.1,6309.6,1
2008,3,2,0,1,4960.4,153.3,1
2009,3,2,0,1,5951,256.3,1
2010,31,23,4,4,3865.5,1.4,1
2011,19,11,3,5,4091.1,1891.7,1
2012,19,12,1,6,6876.1,2877.1,1
2013,11,6,1,4,9666.8,1117.1,1
2014,16,15,0,1,4206.5,2903,1
2015,27,18,1,8,4187,4605.9,1
2016,33,23,4,6,4097.5,165.1,1
2017,16,10,3,3,3623,17709.1,0
2018,4,3,0,1,4903.6,14036.5,0
2019,4,2,0,2,8116.8,846.8,0
2020,8,6,0,2,5134,3546.5,0
2021,10,8,1,1,8756.2,2214.9,0
2022,2,1,0,1,3912,7000.9,0
2023,1,0,1,0,4276.2,839.8,0
