TagCode,Subbasin,ReleaseSite,FirstWellsDate,LastDetectionDate,LastDetectionSite,Fate,Basin,SpillYear,WellsYear,ClassifiedZone,CorrectedFate,Rear Type Code,Harvest_Status,HarvestExposure,FallSpillHours,FallSpillDays,FallTotalSpill,SpringSpillHours,SpringSpillDays,SpringTotalSpill,ReturnedDownstream
384.3B239875C6,Upper Columbia-Entiat,ENTIAR - Entiat River,2017-10-05T05:14:00Z,2018-05-30T12:34:00Z,ENF - Upper Entiat River at rkm 40.6,Downstream,Entiat,2018,2017,Below,Downstream,W,Closed,0,523,34,4903.6,671,66,14036.5,1
384.3B239947BA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2019-08-18T12:02:00Z,2019-10-04T08:16:00Z,"TUM - Tumwater Dam, Wenatchee River",Downstream,Wenatchee,2020,2019,Below,Downstream,W,Closed,0,527,45,5134,86,13,3546.5,1
384.3B23995DC4,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-06T15:06:00Z,2017-06-07T18:34:00Z,ENS - Upper Entiat River at rkm 35.7,Downstream,Entiat,2017,2016,Below,Downstream,W,Closed,0,460,22,3623,330,20,17709.1,1
384.3B239B285B,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2020-07-11T15:09:00Z,2021-05-05T13:14:00Z,JDJ - John Day Dam Juvenile,Downstream,Wenatchee,2021,2020,Below,Downstream,W,Closed,0,725,55,8756.2,161,24,2214.9,1
384.3B23AC6042,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-08-28T15:02:00Z,2016-04-08T13:11:00Z,HS2 - Bottom side channel near ENFH,Downstream,Entiat,2016,2015,Below,Downstream,W,Open,0,460,24,4097.5,15,4,165.1,1
384.3B23AC6E25,Upper Columbia-Entiat,ENTIAR - Entiat River,2015-09-07T15:34:00Z,2016-05-02T11:56:00Z,BCC - BON PH2 Corner Collector,Downstream,Entiat,2016,2015,Below,Downstream,W,Open,0,460,24,4097.5,15,4,165.1,1
384.3B23AC8F6F,Upper Columbia-Entiat,ENTIAR - Entiat River,2016-08-21T10:21:00Z,2016-08-21T12:31:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Entiat,2017,2016,Wells Dam,At Wells,W,Closed,0,460,22,3623,330,20,17709.1,0
3D9.1BF14EC6AF,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-08-19T07:45:00Z,2005-08-19T07:46:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF15ADCFA,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2005-10-16T17:00:00Z,2005-10-16T17:00:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2006,2005,Wells Dam,At Wells,H,Open,1,693,45,6330.4,61,9,1610.6,0
3D9.1BF15AE2C0,Wenatchee,NASONC - Nason Creek (tributary to Wenatchee River),2004-09-16T11:43:00Z,2004-09-16T11:43:00Z,"WEA - Wells Dam, DCPUD Adult Ladders",At Wells,Wenatchee,2005,2004,Wells Dam,At Wells,H,Open,1,653,32,5545.5,24,4,564,0
