SpillYear,Downstream,Total,PctDownstream,HarvestExposed,PctHarvestExposed,FallTotalSpill,SpringTotalSpill,FallSpillHours,SpringSpillHours,AtWells
2005,1,26,0.038461538461538464,26,1,5545.5,564,653,24,25
2006,4,60,0.06666666666666667,60,1,6330.4,1610.6,693,61,56
2007,8,111,0.07207207207207207,110,0.990990990990991,4682.1,6309.6,632,193,103
2008,11,92,0.11956521739130435,89,0.967391304347826,4960.4,153.3,655,19,81
2009,22,134,0.16417910447761194,131,0.9776119402985075,5951,256.3,644,30,112
2010,80,289,0.2768166089965398,260,0.8996539792387543,3865.5,1.4,626,1,209
2011,55,196,0.28061224489795916,182,0.9285714285714286,4091.1,1891.7,631,146,141
2012,46,134,0.34328358208955223,116,0.8656716417910447,6876.1,2877.1,634,143,88
2013,37,115,0.3217391304347826,105,0.9130434782608695,9666.8,1117.1,600,72,78
2014,21,38,0.5526315789473685,22,0.5789473684210527,4206.5,2903,465,189,17
2015,24,39,0.6153846153846154,13,0.3333333333333333,4187,4605.9,460,285,15
2016,36,64,0.5625,35,0.546875,4097.5,165.1,460,15,28
2017,12,16,0.75,0,0,3623,17709.1,460,330,4
2018,8,11,0.7272727272727273,0,0,4903.6,14036.5,523,671,3
2019,4,7,0.5714285714285714,0,0,8116.8,846.8,574,78,3
2020,8,10,0.8,0,0,5134,3546.5,527,86,2
2021,8,9,0.8888888888888888,0,0,8756.2,2214.9,725,161,1
2022,1,2,0.5,0,0,3912,7000.9,342,346,1
2023,1,1,1,0,0,4276.2,839.8,341,52,0
2024,1,1,1,0,0,723.9,306.4,52,26,0
