Site,Zone,Fish_Count
LMR - Lower Methow River at Pateros,Above,112
"GLC - Gold Creek, Methow River",Above,14
TWR - Lwr Twisp Rvr near MSRF Ponds,Above,13
MRB - Methow River Basin,Above,9
FST - Foster Creek,Above,5
NAU - Upper Nason Creek,Below,2
METHR - Methow River,Above,2
"LBC - Libby Creek, Methow River",Above,2
"COLR8 - Columbia River - Chelan Falls, WA to Grand Coulee Dam (km 809-960)",Above,2
CHJO - Chief Joseph Hatchery,Above,2
OMK - Omak Creek Instream Array,Above,2
OKANR - Okanogan River,Above,1
"BVC - Beaver Creek, Methow River",Above,1
MWF - Whitefish SC in Methow River,Above,1
MRC - Methow River at Carlton,Above,1
RRJ - Rocky Reach Dam Juvenile,Below,110
"MAD - Mad River, Entiat River Basin",Below,36
RRF - Rocky Reach Fishway,Below,29
TUF - Tumwater Dam Adult Fishway,Below,29
ENL - Lower Entiat River,Below,22
LWE - Lower Wenatchee River,Below,22
ENM - Middle Entiat River,Below,17
BCC - BON PH2 Corner Collector,Below,14
TUMFBY - TUM - Release into the Forebay within 0.5 km upstream of Dam,Below,14
CHM - Chumstick Creek,Below,10
RCT - Roaring Creek Temporary Array,Below,9
ENS - Upper Entiat River at rkm 35.7,Below,8
ICL - Lower Icicle Instream Array,Below,8
PES - Peshastin Creek,Below,7
ENF - Upper Entiat River at rkm 40.6,Below,6
UWE - Upper Wenatchee River,Below,6
MCJ - McNary Dam Juvenile,Below,5
NAL - Lower Nason Creek,Below,5
ENA - Upper Entiat River at rkm 17.1,Below,5
JDJ - John Day Dam Juvenile,Below,3
CHL - Lower Chiwawa River,Below,3
"BADGEI - Badger Island, Columbia River",Below,2
BBP - Blackbird Pond Accl. Site,Below,2
MCL - Lower Mission Creek Instream,Below,2
EBO - East Bank Hatchery Outfall,Below,2
"TUM - Tumwater Dam, Wenatchee River",Below,1
HS2 - Bottom side channel near ENFH,Below,1
PRD - Priest Rapids Dam,Below,1
"WTL - White River, Wenatchee Basin",Below,1
MWE - Middle Wenatchee River,Below,1
PD1 - Top of Chelan PUD side channel,Below,1
UMR - Upper Mad Rv. Temporary Array,Below,1
DRYFBY - DRY - Release into the Forebay within 0.5 km upstream of Dam,Below,1
URT - Upper Roaring Temporary Array,Below,1
TLT - Tillicum Creek Temporary Array,Below,1
CHW - Chiwaukum Creek,Below,1
PRA - Priest Rapids Adult,Below,1
BCP - Butcher Creek Acclimation Pond,Below,1
TWX - Estuary Towed Array (Exp.),Below,1
"WEA - Wells Dam, DCPUD Adult Ladders",Wells Dam,967
WEL - Wells Dam,Wells Dam,2
WEJ - Wells Dam Bypass Bay Sample,Wells Dam,2
